Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-06-07 09:34:15,false,"County Galway Running","5.06","234","00:21:30","174","206","174","190","4:15","3:35","60","55","1.35","0.0","3,726","No","00:00:40.9","6","00:21:03","00:21:30","6","22"
Running,2025-05-20 08:57:07,false,"County Galway Running","9.86","521","01:00:13","153","168","165","190","6:06","5:08","43","47","0.99","0.0","10,096","No","00:04:34.6","10","00:57:42","01:01:10","46","70"
Running,2025-05-19 08:21:24,false,"County Galway Running","5.19","268","00:31:19","148","169","165","211","6:02","4:05","7","7","1.00","0.0","5,278","No","00:00:58.9","6","00:29:52","00:31:19","46","53"
Running,2025-05-16 10:00:52,false,"County Galway Running","4.93","219","00:20:07","174","193","176","199","4:05","2:53","12","12","1.39","0.0","3,548","No","00:03:46.2","5","00:20:06","00:20:07","41","55"
Running,2025-05-10 08:52:08,false,"County Galway Running","6.43","313","00:37:35","144","172","137","208","5:51","3:27","25","23","1.20","0.0","5,352","No","00:02:00","12","00:30:38","00:37:36","31","53"
Running,2025-04-24 09:29:29,false,"County Galway Running","3.95","201","00:23:29","149","162","172","190","5:57","3:45","3","3","0.97","0.0","4,130","No","00:05:04.6","4","00:23:20","00:23:29","46","52"
Running,2025-04-15 09:03:58,false,"County Galway Running","2.69","133","00:15:52","155","167","177","192","5:53","3:52","11","30","0.96","0.0","2,834","No","00:03:55.1","3","00:15:51","00:15:52","18","38"
Running,2025-02-19 08:33:09,false,"County Galway Running","5.23","262","00:37:38","138","171","141","222","7:12","3:17","17","19","0.97","0.0","5,566","No","00:00:43.3","24","00:35:30","00:41:57","44","53"
Running,2025-02-18 09:39:11,false,"County Galway Running","10.00","508","01:06:10","143","162","167","234","6:37","2:53","51","52","0.91","0.0","11,274","No","00:05:59.3","10","01:04:53","01:06:10","46","87"
Running,2025-01-20 16:08:03,false,"County Galway Running","4.65","224","00:21:58","158","170","178","203","4:43","3:14","9","8","1.19","0.0","3,926","No","00:02:40.8","5","00:21:57","00:21:58","46","53"
Running,2025-01-17 15:38:14,false,"County Galway Running","8.01","416","00:49:59","146","161","168","211","6:15","2:22","31","31","0.95","0.0","8,610","No","00:00:01.4","9","00:49:02","00:49:59","46","70"
Running,2025-01-10 15:31:16,false,"County Galway - Tempo Run","11.11","540","01:00:01","153","171","161","200","5:24","3:21","40","42","1.12","0.0","9,924","No","00:00:01.0","27","00:56:54","01:00:01","29","53"
Running,2024-12-30 09:56:53,false,"County Galway Running","5.01","246","00:25:10","161","171","181","190","5:01","4:17","15","17","1.10","0.0","4,546","No","00:00:01.9","6","00:25:02","00:25:10","46","63"
Running,2024-12-13 15:46:59,false,"County Galway - Tempo Run","10.30","489","00:54:01","145","170","168","200","5:15","3:33","34","40","1.12","0.0","9,094","No","00:00:01.2","23","00:53:41","00:54:01","29","53"
Running,2024-12-08 10:12:58,false,"County Galway - Tempo Run","9.92","479","00:54:01","147","168","170","205","5:27","2:50","29","35","1.07","0.0","9,222","No","00:00:01.4","23","00:53:23","00:54:32","29","53"
Running,2024-12-06 15:47:19,false,"County Galway - Interval Run","12.24","561","01:06:01","146","166","169","208","5:24","2:32","42","42","1.08","0.0","11,242","No","00:00:01.1","43","01:05:41","01:06:01","29","53"
Running,2024-11-29 15:56:51,false,"County Galway - Interval Run","11.51","554","01:01:57","153","170","177","189","5:23","4:18","68","68","1.05","0.0","10,868","No","00:00:20","45","01:01:54","01:01:57","46","87"
Running,2024-11-26 10:20:08,false,"County Galway - Tempo Run","10.58","516","00:56:35","156","174","173","208","5:21","2:56","45","47","1.08","0.0","9,918","No","00:00:45","28","00:55:19","00:57:09","46","80"
Running,2024-11-24 09:10:13,false,"County Galway - Fartlek Run","11.34","587","01:02:02","154","173","176","195","5:28","4:31","48","49","1.03","0.0","11,084","No","00:00:02.1","23","01:01:22","01:02:02","46","70"
Running,2024-11-10 09:30:17,false,"County Galway - Fartlek Run","11.61","578","01:02:01","156","180","181","234","5:21","4:15","36","39","1.04","0.0","11,162","No","00:00:01.4","23","01:01:58","01:02:01","29","53"
Running,2024-11-01 09:06:08,false,"County Galway - Interval Run","9.03","706","00:50:02","158","171","178","200","5:32","3:14","49","49","1.02","0.0","8,840","No","00:00:02.5","27","00:49:59","00:50:02","46","87"
Running,2024-10-29 09:02:23,false,"County Galway Running","21.17","1,706","02:10:50","150","167","175","188","6:11","4:25","155","151","0.92","0.0","23,076","No","00:03:00.3","22","02:09:58","02:10:50","33","100"
